,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4632,0.784,0.127,7,-19.02,1,0.185,0.707,0.000109,0.0946,0.458,130.889,audio_features,0YfDBg5GmVtglEaFXoGPiI,spotify:track:0YfDBg5GmVtglEaFXoGPiI,https://api.spotify.com/v1/tracks/0YfDBg5GmVtglEaFXoGPiI,https://api.spotify.com/v1/audio-analysis/0YfDBg5GmVtglEaFXoGPiI,107267,4
4633,0.576,0.412,3,-9.244,1,0.0698,0.847,0.0,0.12,0.687,161.418,audio_features,5DMTreJFLW0tzLdqIC7OtZ,spotify:track:5DMTreJFLW0tzLdqIC7OtZ,https://api.spotify.com/v1/tracks/5DMTreJFLW0tzLdqIC7OtZ,https://api.spotify.com/v1/audio-analysis/5DMTreJFLW0tzLdqIC7OtZ,183213,4
4634,0.441,0.391,10,-10.129,1,0.031,0.669,1.38e-05,0.347,0.698,104.254,audio_features,2WaSH7SRWoFUOSBzurhVws,spotify:track:2WaSH7SRWoFUOSBzurhVws,https://api.spotify.com/v1/tracks/2WaSH7SRWoFUOSBzurhVws,https://api.spotify.com/v1/audio-analysis/2WaSH7SRWoFUOSBzurhVws,151013,4
4635,0.626,0.652,2,-10.787,1,0.0384,0.671,0.0,0.229,0.779,103.902,audio_features,3pV7SPKgUzKnIuaWVcrNJn,spotify:track:3pV7SPKgUzKnIuaWVcrNJn,https://api.spotify.com/v1/tracks/3pV7SPKgUzKnIuaWVcrNJn,https://api.spotify.com/v1/audio-analysis/3pV7SPKgUzKnIuaWVcrNJn,142507,4
4636,0.384,0.591,7,-8.34,1,0.0389,0.543,0.0,0.204,0.433,107.477,audio_features,2766IgtVMQnjlAHzBqIZCB,spotify:track:2766IgtVMQnjlAHzBqIZCB,https://api.spotify.com/v1/tracks/2766IgtVMQnjlAHzBqIZCB,https://api.spotify.com/v1/audio-analysis/2766IgtVMQnjlAHzBqIZCB,134840,4
4637,0.608,0.248,11,-13.541,1,0.281,0.941,0.0,0.0863,0.877,200.035,audio_features,6bdCl7Ysl8UzYKNJ9uYPFB,spotify:track:6bdCl7Ysl8UzYKNJ9uYPFB,https://api.spotify.com/v1/tracks/6bdCl7Ysl8UzYKNJ9uYPFB,https://api.spotify.com/v1/audio-analysis/6bdCl7Ysl8UzYKNJ9uYPFB,168960,4
4638,0.638,0.323,6,-10.869,0,0.108,0.918,0.0,0.0858,0.751,113.875,audio_features,6pTS4MPPQxQ2y9cvxA4lZs,spotify:track:6pTS4MPPQxQ2y9cvxA4lZs,https://api.spotify.com/v1/tracks/6pTS4MPPQxQ2y9cvxA4lZs,https://api.spotify.com/v1/audio-analysis/6pTS4MPPQxQ2y9cvxA4lZs,160373,4
4639,0.456,0.404,8,-9.706,1,0.0361,0.611,0.0,0.375,0.875,170.344,audio_features,7bDZBEu0qgsUs8EIa3WYh0,spotify:track:7bDZBEu0qgsUs8EIa3WYh0,https://api.spotify.com/v1/tracks/7bDZBEu0qgsUs8EIa3WYh0,https://api.spotify.com/v1/audio-analysis/7bDZBEu0qgsUs8EIa3WYh0,178813,4
4640,0.556,0.59,10,-7.307,1,0.0277,0.161,0.0,0.235,0.866,147.466,audio_features,7nbnIbZC4uWuJFxvfc0glv,spotify:track:7nbnIbZC4uWuJFxvfc0glv,https://api.spotify.com/v1/tracks/7nbnIbZC4uWuJFxvfc0glv,https://api.spotify.com/v1/audio-analysis/7nbnIbZC4uWuJFxvfc0glv,149853,4
4641,0.425,0.547,7,-6.453,1,0.042,0.397,0.0,0.755,0.742,84.474,audio_features,4SfPVS3lMe3YwmgBFBbcDE,spotify:track:4SfPVS3lMe3YwmgBFBbcDE,https://api.spotify.com/v1/tracks/4SfPVS3lMe3YwmgBFBbcDE,https://api.spotify.com/v1/audio-analysis/4SfPVS3lMe3YwmgBFBbcDE,172267,4
